Smiles,average,std
CC1=CC=C(C=C1)S(=O)(=O)N1CCC(=O)C=C1,0.1963490271754563,0.1420259236156968
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC=CC=C1,0.5870634212344885,0.20647243567028636
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1Br,0.6085544105619192,0.19726804820056562
CC1=C(C=O)C(O)=CC(OCC2=CC=CC(=C2C)C2=CC=C3OCCOC3=C2)=C1,0.7647524929046631,0.11557955796024932
COC1=CC(OCC2=CC=CC(Br)=C2C)=CC(OC)=C1C=O,0.7415425080060959,0.16171625343309978
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=C3OCCOC3=C2)=CC(OC)=C1CN[C@H](CO)C(O)=O,0.7771179145574569,0.11925820211304006
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=CC=C2)=CC(OC)=C1C=O,0.7166326463222503,0.1472643925617533
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=CC=C2)=CC(OC)=C1CN[C@@H](CO)C(C)C,0.5644671709090471,0.14318748259217945
ClC1=CC=C(C=C1)C(=O)N\N=C1/C(=O)N(CC2=CC=CC=C2)C2=C1C=CC=C2,0.22439325503073632,0.19656549590516081
CN1C(=O)\C(=N/NC(=O)C2=CC=CO2)C2=C1C=CC=C2,0.1981464805267751,0.18286568182061308
CC1=CC=C(C=C1)S(=O)(=O)N1CCC(=O)CC1,0.10035065389471129,0.11753560753499699
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC=C(N)C=C1,0.5455768568813801,0.16811959660434417
CC1=CC=C(C=C1)S(=O)(=O)N1C(=O)CC2=C1C=CC=C2,0.3058150864951312,0.18401616634085696
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC2=C(OCCO2)C=C1,0.7599385300278664,0.14535713273796014
CC1=C(CO)C=CC=C1Br,0.46887686133384704,0.1815879177850226
O=C(CCC#C)NCCN1CCOCC1,0.3968008374236524,0.19815110764981975
CC1=C(CO)C=CC=C1C1=CC2=C(OCCO2)C=C1,0.7656488576531411,0.12542458504131943
CC1=C(CO)C=CC=C1C1=CC=CC=C1,0.4902263978309929,0.18613981561866277
ClC1=CC=C(NC(=O)CCC#C)C=C1,0.2953031438589096,0.16931911478730372
COC(=O)[C@@H](COC(C)(C)C)NC(=O)OC(C)(C)C,0.2734667381364852,0.18483041430088926
CC(C)(C)OC[C@@H](NC(=O)OC(C)(C)C)C(=O)NN,0.2446009973017499,0.1737862539383889
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC3=C(OCCO3)C=C2)=CC(OC)=C1C=O,0.8057709574699402,0.11490938540197218
OCC1=C(Cl)C(Br)=CC=C1,0.30420803183689715,0.16771712617226878
OCC1=C(Cl)C(=CC=C1)C1=CC=CC=C1,0.4900160224735737,0.21837433339902984
CCOC(=O)C1=C(O)C2=CC=CC=C2N=C1C,0.4179874697327614,0.19034367371677482
CCOC(=O)C1=C(Cl)C2=CC=CC=C2N=C1C,0.3165275461226702,0.20420350146915975
CC1=C2C(=O)N(N=C2C2=CC=CC=C2N1)C1=CC=C(C=C1)C#N,0.19761690171435475,0.17384498968555676
COC(=O)[C@@H](C)NC(=O)OCC1C2=C(C=CC=C2)C2=C1C=CC=C2,0.4413195099681616,0.15634627657542755
C[C@H](NC(=O)OCC1C2=CC=CC=C2C2=C1C=CC=C2)C(=O)NN,0.36298976581543685,0.16785902655159177
CC1=C(COC2=CC=C(C=O)C(F)=C2)C=CC=C1C1=CC=CC=C1,0.6883407017588615,0.15400594578956817
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=C(C=C2)[C@@H](O)C2=NC=CS2)=CC(OC)=C1C=O,0.7211965254694224,0.1507595087668372
CN1C(=O)C(=O)C2=CC=CC=C12,0.18647732248529791,0.1629469665129421
CN1C(=O)\C(=N/NC(=O)C2=CC=CC=C2)C2=CC=CC=C12,0.12788949253736065,0.14883041535475058
CC(=O)NN,0.38445772979874165,0.2768403447824008
CN1[C@H]2SC(=NN=C2C2=CC=CC=C12)C1=CC=CC=C1,0.18661001748405398,0.174874314249082
CC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(O)=C1C=O,0.5738619572669268,0.1671245897602327
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN[C@@H](CBr)C(C)C,0.5408855954185128,0.15147372397130102
COC1=CC(OCC2=C(C)C(Br)=CC=C2)=CC(OC)=C1CNCCBr,0.6780103738605976,0.16447555629570285
ClC1=C(C=O)C=NC2=CC=CC=C12,0.4816182685643435,0.19786538758612174
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1\C=C\C(=O)C=C(SC)SC,0.6402859196066857,0.1376687256914087
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1C=C(C#N)C#N,0.7143832117319107,0.1224111499681261
O=CC1=CNC2=CC=CC=C2C1=O,0.3267277346551418,0.17970658928888858
CC1=CC=C(C=C1)S(=O)(=O)N1C=C(C=O)C(=O)C2=C1C=CC=C2,0.3619630560651422,0.17628783113629226
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=C(C=C2)[C@@H](O)C2=NC=CS2)=CC(OC)=C1CNCCNC(C)=O,0.6231426637247205,0.17704014429929762
CC1=C(C=O)C(OCC2=CC(=CC=C2)C#N)=CC(OCC2=C(C)C(=CC=C2)C2=CC3=C(OCCO3)C=C2)=C1,0.7178612315654754,0.1372587829163921
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN1CCC[C@@H](C1)C(O)=O,0.5279735772311688,0.12594253896126376
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN1CCCC[C@@H]1C(=O)NCCOCCOCCNC(=O)OC(C)(C)C,0.41087769225239756,0.1277750850468598
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN1CCCC[C@@H]1C(=O)NCCOCCOCCN,0.4613303568959236,0.11475132600816211
FC1=CC=C(\C=C2/CCNC2=O)C=C1,0.3849864587560296,0.1937842105836046
